study_id,study_name,year,intervention_category,intervention_specific,intervention_subtype,dose_value,dose_unit,dose_frequency,population,baseline_ldl_mg_dl,n,ldl_change_value,ldl_change_unit,ldl_change_se,ci_low,ci_high,on_top_of,evidence_quality,source_paper,notes
HASAN_2020_pharma,Hasan,2020,weight_change,weight_loss,via_pharmacotherapy,1,kg_lost,NA,overweight_obese_adults_BMI_36,125.3,16333,-1.67,mg_dL_per_kg,NA,-2.28,-1.06,NA,RCT_meta_35trials_low_risk_bias,Hasan_2020_PMID32954416,12_month_followup_faster_buildup_peaks_around_6mo_at_2.57_then_1.67
HASAN_2020_surgery,Hasan,2020,weight_change,weight_loss,via_bariatric_surgery,1,kg_lost,NA,overweight_obese_adults_BMI_36,106.4,377,-0.33,mg_dL_per_kg,NA,-0.77,0.10,NA,RCT_meta_8trials_low_risk_bias,Hasan_2020_PMID32954416,12_month_followup_LDL_effect_NOT_significant_CI_crosses_zero
CHIAVAROLI_2018_efficacy,Chiavaroli,2018,diet,portfolio_diet,full_4_components_strict_adherence,1,portfolio_pattern,daily,hyperlipidemic_adults_no_DM_no_CVD,170,94,-21,percent,NA,-23,-17,NCEP_Step_II_diet,RCT_meta_5trials_metabolically_controlled_GRADE_high,Chiavaroli_2018_PMID29807048,strict_adherence_over_90pct_foods_provided_metabolic_feeding_I2_zero
CHIAVAROLI_2018_effectiveness,Chiavaroli,2018,diet,portfolio_diet,full_4_components_real_world,1,portfolio_pattern,daily,hyperlipidemic_adults_no_DM_no_CVD,170,345,-11,percent,NA,-14,-9,NCEP_Step_II_diet,RCT_meta_2trials_dietary_advice_only,Chiavaroli_2018_PMID29807048,real_world_adherence_under_50pct_dietary_advice_only_I2_zero
BROWN_1999_overall,Brown,1999,fiber,soluble_fiber_pooled,NA,1,g,daily,mixed_healthy_hyperlipidemic_adults_baseline_LDL_164,164,1151,-2.20,mg_dL_per_g,NA,-2.71,-1.70,NA,RCT_meta_22trials_practical_dose_2_to_8g_per_day_pre_GRADE,Brown_1999_PMID9925120,LDL_practical_range_max_8g_per_day_4_fiber_types_pooled_paper_says_no_significant_type_difference
BROWN_1999_oat,Brown,1999,fiber,oat_products,soluble_fiber_beta_glucan,1,g,daily,mixed_healthy_hyperlipidemic_adults_baseline_LDL_164,164,867,-1.43,mg_dL_per_g,NA,-1.55,-1.31,NA,RCT_meta_13trials_practical_dose_2_to_8g_per_day_pre_GRADE,Brown_1999_PMID9925120,LDL_practical_range_max_8g_per_day_food_sources_oatmeal_oat_bran_barley
BROWN_1999_psyllium,Brown,1999,fiber,psyllium,soluble_fiber_mucilage,1,g,daily,mixed_healthy_hyperlipidemic_adults_baseline_LDL_164,164,151,-2.59,mg_dL_per_g,NA,-5.65,-0.54,NA,RCT_meta_4trials_practical_dose_2_to_8g_per_day_pre_GRADE,Brown_1999_PMID9925120,LDL_practical_range_max_8g_per_day_wide_CI_due_to_small_n_food_sources_Metamucil_Konsyl
BROWN_1999_pectin,Brown,1999,fiber,pectin,soluble_fiber_pectin,1,g,daily,mixed_healthy_hyperlipidemic_adults_baseline_LDL_164,164,117,-2.13,mg_dL_per_g,NA,-3.36,-0.85,NA,RCT_meta_4trials_practical_dose_2_to_8g_per_day_pre_GRADE,Brown_1999_PMID9925120,LDL_practical_range_max_8g_per_day_food_sources_apples_citrus_berries_natural_sources
RAS_2014_dose1,Ras,2014,plant_sterols,phytosterols_combined,sterols_and_stanols_pooled,0.6,g,daily,mixed_normocholesterolemic_to_mildly_hypercholesterolemic_adults,NA,1152,-5.7,percent,NA,-7.1,-4.4,NA,RCT_meta_124studies_201strata_random_effects_dose_bin_under_1g,Ras_2014_PMID24780090,subjects_estimated_24arms_x_48_per_arm_includes_22_sterol_1_stanol_1_mix
RAS_2014_dose2,Ras,2014,plant_sterols,phytosterols_combined,sterols_and_stanols_pooled,1.1,g,daily,mixed_normocholesterolemic_to_mildly_hypercholesterolemic_adults,NA,624,-6.4,percent,NA,-8.2,-4.6,NA,RCT_meta_124studies_201strata_random_effects_dose_bin_1_to_1.5g,Ras_2014_PMID24780090,subjects_estimated_13arms_x_48_per_arm_includes_9_sterol_2_stanol_2_mix
RAS_2014_dose3,Ras,2014,plant_sterols,phytosterols_combined,sterols_and_stanols_pooled,1.7,g,daily,mixed_normocholesterolemic_to_mildly_hypercholesterolemic_adults,NA,2640,-7.6,percent,NA,-8.4,-6.8,NA,RCT_meta_124studies_201strata_random_effects_dose_bin_1.5_to_2g,Ras_2014_PMID24780090,subjects_estimated_55arms_x_48_per_arm_includes_39_sterol_9_stanol_7_mix
RAS_2014_dose4,Ras,2014,plant_sterols,phytosterols_combined,sterols_and_stanols_pooled,2.1,g,daily,mixed_normocholesterolemic_to_mildly_hypercholesterolemic_adults,NA,2880,-8.4,percent,NA,-9.2,-7.6,NA,RCT_meta_124studies_201strata_random_effects_dose_bin_2_to_2.5g,Ras_2014_PMID24780090,subjects_estimated_60arms_x_48_per_arm_includes_40_sterol_18_stanol_2_mix
RAS_2014_dose5,Ras,2014,plant_sterols,phytosterols_combined,sterols_and_stanols_pooled,2.6,g,daily,mixed_normocholesterolemic_to_mildly_hypercholesterolemic_adults,NA,816,-10.3,percent,NA,-11.8,-8.9,NA,RCT_meta_124studies_201strata_random_effects_dose_bin_2.5_to_3g,Ras_2014_PMID24780090,subjects_estimated_17arms_x_48_per_arm_includes_6_sterol_11_stanol
RAS_2014_dose6,Ras,2014,plant_sterols,phytosterols_combined,sterols_and_stanols_pooled,3.3,g,daily,mixed_normocholesterolemic_to_mildly_hypercholesterolemic_adults,NA,1296,-12.4,percent,NA,-13.6,-11.2,NA,RCT_meta_124studies_201strata_random_effects_dose_bin_3_to_4g,Ras_2014_PMID24780090,subjects_estimated_27arms_x_48_per_arm_includes_11_sterol_15_stanol_1_mix
SMART_2024_aerobic_or_combined,Smart,2024,exercise,exercise_training,aerobic_or_combined_AT_CT,NA,NA,NA,general_adults_no_CVD_cancer_HIV_pregnancy,NA,4143,-7.22,mg_dL,NA,-9.08,-5.35,NA,RCT_meta_148studies_178LDL_groups_AT_dominant_92pct_overall_pooled,Smart_2024_PMID39331324,LDL_overall_pooled_dominated_by_AT_92pct_of_LDL_groups_paper_Fig7_indicates_CT_largest_AT_significant_RT_zero_effect_use_only_for_AT_or_CT_predictions
SMART_2024_resistance_only,Smart,2024,exercise,exercise_training,resistance_only,NA,NA,NA,general_adults_no_CVD_cancer_HIV_pregnancy,NA,NA,0,mg_dL,NA,NA,NA,NA,RCT_meta_148studies_RT_subgroup_per_paper_text_Section_3.5,Smart_2024_PMID39331324,RT_alone_no_significant_LDL_effect_per_paper_Fig7_and_Section_3.5_use_for_resistance_only_predictions_paper_gives_no_numeric_CI_for_RT_LDL
